Date		Time		Sub_Nr	Block	Trial	ITI	Pic_Duration	Stimulus
2024-09-30	10:30:58.129	1	0	1	1.609	0.6		lowneg_06.jpg
2024-09-30	10:30:59.242	1	0	2	1.463	0.6		highneg_09.jpg
2024-09-30	10:31:00.355	1	0	3	1.839	0.6		highneg_16.jpg
2024-09-30	10:31:01.466	1	0	4	1.539	0.6		highpos_10.jpg
2024-09-30	10:31:02.580	1	0	5	1.015	0.6		lowpos_30.jpg
2024-09-30	10:31:03.694	1	0	6	1.710	0.6		highpos_13.jpg
2024-09-30	10:31:04.814	1	0	7	1.150	0.6		neutral_21.jpg
2024-09-30	10:31:05.927	1	0	8	1.689	0.6		highpos_29.jpg
2024-09-30	10:31:07.042	1	0	9	1.202	0.6		lowpos_21.jpg
2024-09-30	10:31:08.146	1	0	10	1.516	0.6		lowpos_18.jpg
2024-09-30	10:31:09.268	1	0	11	1.938	0.6		lowneg_08.jpg
2024-09-30	10:31:10.382	1	0	12	1.750	0.6		highneg_03.jpg
2024-09-30	10:31:11.488	1	0	13	1.832	0.6		lowpos_12.jpg
2024-09-30	10:31:12.602	1	0	14	1.828	0.6		neutral_11.jpg
2024-09-30	10:31:13.715	1	0	15	1.339	0.6		highneg_06.jpg
2024-09-30	10:31:14.835	1	0	16	1.474	0.6		neutral_24.jpg
2024-09-30	10:31:15.955	1	0	17	1.235	0.6		lowneg_03.jpg
2024-09-30	10:31:17.063	1	0	18	1.439	0.6		lowneg_19.jpg
2024-09-30	10:31:18.180	1	0	19	1.187	0.6		lowneg_25.jpg
2024-09-30	10:31:19.298	1	0	20	1.706	0.6		lowneg_16.jpg
2024-09-30	10:31:20.403	1	0	21	1.556	0.6		lowneg_05.jpg
2024-09-30	10:31:21.525	1	0	22	1.440	0.6		highneg_04.jpg
2024-09-30	10:31:22.642	1	0	23	1.035	0.6		neutral_10.jpg
2024-09-30	10:31:23.753	1	0	24	1.434	0.6		neutral_07.jpg
2024-09-30	10:31:24.870	1	0	25	1.408	0.6		highneg_17.jpg
2024-09-30	10:31:25.989	1	0	26	1.215	0.6		neutral_22.jpg
2024-09-30	10:31:27.099	1	0	27	1.273	0.6		lowneg_21.jpg
2024-09-30	10:31:28.210	1	0	28	1.694	0.6		lowneg_15.jpg
2024-09-30	10:31:29.319	1	0	29	1.499	0.6		lowneg_13.jpg
2024-09-30	10:31:30.426	1	0	30	1.217	0.6		highpos_06.jpg
2024-09-30	10:31:31.543	1	0	31	1.411	0.6		lowneg_22.jpg
2024-09-30	10:31:32.655	1	0	32	1.922	0.6		highneg_13.jpg
2024-09-30	10:31:33.762	1	0	33	1.748	0.6		lowpos_22.jpg
2024-09-30	10:31:34.866	1	0	34	1.101	0.6		neutral_09.jpg
2024-09-30	10:31:35.984	1	0	35	1.548	0.6		lowpos_07.jpg
2024-09-30	10:31:37.102	1	0	36	1.391	0.6		neutral_15.jpg
