CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1729160832.154157,1729160832.639821,0.600000,1.112543,0.000000,-1.112543,0,1,highpos_28.jpg
1729160833.269148,1729160835.167560,0.600000,2.531228,2.527739,-0.003488,0,2,lowneg_03.jpg
1729160835.781326,1729160836.406689,0.600000,1.254088,1.239129,-0.014959,0,3,highpos_06.jpg
1729160837.009747,1729160838.030794,0.600000,1.625704,1.624105,-0.001599,0,4,highpos_05.jpg
1729160838.637379,1729160840.347141,0.600000,2.307095,2.316347,0.009252,0,5,highpos_22.jpg
1729160840.937129,1729160843.103810,0.600000,2.778746,2.756669,-0.022077,0,6,neutral_16.jpg
1729160843.706152,1729160845.129453,0.600000,2.027905,2.025643,-0.002262,0,7,lowneg_06.jpg
1729160845.724216,1729160846.381712,0.600000,1.260668,1.252259,-0.008409,0,8,neutral_04.jpg
1729160846.985131,1729160848.521041,0.600000,2.146130,2.139329,-0.006801,0,9,highneg_16.jpg
1729160849.128115,1729160850.005393,0.600000,1.295930,1.484352,0.188422,0,10,lowneg_13.jpg
1729160850.402253,1729160851.902649,0.600000,2.102194,1.897256,-0.204938,0,11,highpos_12.jpg
1729160852.493750,1729160853.237582,0.600000,1.349800,1.334933,-0.014867,0,12,neutral_23.jpg
1729160853.831191,1729160855.530760,0.600000,2.301572,2.293178,-0.008394,0,13,lowneg_20.jpg
1729160856.124838,1729160858.238261,0.600000,2.719220,2.707501,-0.011719,0,14,neutral_25.jpg
1729160858.827757,1729160860.515206,0.600000,2.293336,2.276945,-0.016391,0,15,neutral_19.jpg
1729160861.121248,1729160863.539149,0.600000,2.990609,3.023943,0.033334,0,16,lowpos_24.jpg
1729160864.104674,1729160865.119820,0.600000,1.615989,1.580671,-0.035318,0,17,highpos_26.jpg
1729160865.714179,1729160866.214632,0.600000,1.098128,1.094812,-0.003316,0,18,highneg_05.jpg
1729160866.806008,1729160868.844300,0.600000,2.639801,2.629668,-0.010133,0,19,lowneg_11.jpg
1729160869.434989,1729160870.626495,0.600000,1.786301,1.782195,-0.004106,0,20,neutral_22.jpg
1729160871.207428,1729160872.016542,0.600000,1.405514,1.390047,-0.015467,0,21,highneg_24.jpg
1729160872.615285,1729160874.178288,0.600000,2.162314,2.161746,-0.000568,0,22,highneg_04.jpg
1729160874.767081,1729160876.351872,0.600000,2.194430,2.173584,-0.020846,0,23,lowpos_28.jpg
1729160877.057720,1729160877.525287,0.600000,1.172364,1.173415,0.001051,0,24,highneg_12.jpg
1729160878.128155,1729160880.296839,0.600000,2.770815,2.771552,0.000737,0,25,lowneg_15.jpg
1729160880.898583,1729160881.956095,0.600000,1.660578,1.659256,-0.001322,0,26,lowneg_17.jpg
1729160882.556525,1729160883.360650,0.600000,1.407705,1.404555,-0.003150,0,27,neutral_09.jpg
1729160883.971121,1729160885.517688,0.600000,2.129182,2.157038,0.027856,0,28,highpos_02.jpg
1729160886.095171,1729160887.901592,0.600000,2.415298,2.383904,-0.031394,0,29,neutral_15.jpg
1729160888.493756,1729160888.951733,0.600000,1.062638,1.050141,-0.012497,0,30,highpos_19.jpg
1729160889.543913,1729160890.218460,0.600000,1.235463,1.266727,0.031264,0,31,highpos_17.jpg
1729160890.770460,1729160892.375827,0.600000,2.206024,2.157367,-0.048657,0,32,highneg_14.jpg
1729160892.971354,1729160894.048111,0.600000,1.680546,1.672284,-0.008262,0,33,neutral_02.jpg
1729160894.642543,1729160896.315728,0.600000,2.271810,2.267617,-0.004193,0,34,lowpos_08.jpg
1729160896.907945,1729160897.914647,0.600000,1.604982,1.598919,-0.006063,0,35,highpos_10.jpg
1729160898.505331,1729160899.908912,0.600000,2.005740,1.994265,-0.011475,0,36,lowpos_16.jpg
1729160900.509869,1729160901.705677,0.600000,1.796023,1.796765,0.000743,0,37,lowneg_04.jpg
1729160902.297550,1729160903.849817,0.600000,2.150259,2.144140,-0.006119,0,38,lowneg_01.jpg
1729160904.540572,1729160905.163504,0.600000,1.324131,1.313687,-0.010445,0,39,highneg_20.jpg
1729160905.753735,1729160906.377164,0.600000,1.224581,1.213660,-0.010921,0,40,lowneg_12.jpg
1729160906.996063,1729160909.071113,0.600000,2.699920,2.693949,-0.005971,0,41,highpos_13.jpg
1729160909.663508,1729160910.077086,0.600000,1.016994,1.005973,-0.011021,0,42,highneg_13.jpg
1729160910.670747,1729160912.610557,0.600000,2.539918,2.533471,-0.006447,0,43,lowneg_05.jpg
1729160913.201677,1729160914.398114,0.600000,1.796521,1.787557,-0.008964,0,44,highpos_11.jpg
1729160915.006385,1729160915.832399,0.600000,1.429746,1.434285,0.004539,0,45,highneg_01.jpg
1729160916.522171,1729160917.682660,0.600000,1.861471,1.850261,-0.011210,0,46,neutral_24.jpg
1729160918.275481,1729160919.039333,0.600000,1.361869,1.356673,-0.005196,0,47,highneg_10.jpg
1729160919.634771,1729160920.039214,0.600000,1.009126,0.999881,-0.009245,0,48,highneg_08.jpg
