# Experiment Info:
# Start_Time: 20250120_104409
# OSC_IP: 127.0.0.1
# OSC_Port: 5002
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\ShamScenes_20250120_104409.txt
#
# Format for break lines:
# BREAK,<time>,<reason>,<details>
#
Timestamp,Trial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error,EEGConnected
1737369176.448201,1,checkerboard225.png,1737369175.852391,1737369176.448201,0.595809,2.926639,0.000000,-2.926639,0
1737369179.220332,2,checkerboard225_inverted.png,1737369178.615333,1737369179.220332,0.604999,2.090061,2.167132,0.077072,0
1737369181.170280,3,checkerboard225.png,1737369180.565881,1737369181.170280,0.604398,1.331051,1.345549,0.014498,0
1737369183.590011,4,checkerboard225_inverted.png,1737369182.987722,1737369183.590011,0.602289,1.791573,1.817442,0.025869,0
1737369186.224311,5,checkerboard225.png,1737369185.626876,1737369186.224311,0.597434,2.022805,2.036866,0.014061,0
1737369189.066880,6,checkerboard225_inverted.png,1737369188.472028,1737369189.066880,0.594851,2.221371,2.247717,0.026347,0
1737369192.456773,7,checkerboard225.png,1737369191.849096,1737369192.456773,0.607677,2.762903,2.782216,0.019314,0
1737369195.791834,8,checkerboard225_inverted.png,1737369195.191031,1737369195.791834,0.600803,2.712048,2.734258,0.022210,1
1737369199.388401,9,checkerboard195.png,1737369198.784945,1737369199.388401,0.603456,2.913289,2.993111,0.079822,1
1737369202.482688,10,checkerboard195_inverted.png,1737369201.876889,1737369202.482688,0.605799,2.412247,2.488488,0.076242,1
1737369204.274768,11,checkerboard225.png,1737369203.673161,1737369204.274768,0.601606,1.155574,1.190473,0.034899,1
1737369206.073764,12,checkerboard225_inverted.png,1737369205.466992,1737369206.073764,0.606772,1.182554,1.192225,0.009671,1
1737369207.867995,13,checkerboard255.png,1737369207.271377,1737369207.867995,0.596618,1.058681,1.197613,0.138932,1
1737369209.782731,14,checkerboard255_inverted.png,1737369209.179058,1737369209.782731,0.603673,1.273627,1.311063,0.037436,1
1737369211.836556,15,checkerboard195.png,1737369211.235335,1737369211.836556,0.601221,1.434988,1.452604,0.017616,1
1737369215.154736,16,checkerboard195_inverted.png,1737369214.551778,1737369215.154736,0.602958,2.690540,2.715222,0.024683,1
1737369217.876963,17,checkerboard255.png,1737369217.276246,1737369217.876963,0.600717,2.110939,2.121510,0.010572,1
1737369221.212708,18,checkerboard255_inverted.png,1737369220.615536,1737369221.212708,0.597172,2.724195,2.738573,0.014378,1
1737369223.040008,19,checkerboard195.png,1737369222.434975,1737369223.040008,0.605033,1.207944,1.222267,0.014322,1
1737369225.077328,20,checkerboard195_inverted.png,1737369224.474738,1737369225.077328,0.602590,1.308895,1.434730,0.125835,1
1737369226.864145,21,checkerboard195.png,1737369226.258853,1737369226.864145,0.605292,1.156364,1.181525,0.025161,1
1737369229.587123,22,checkerboard195_inverted.png,1737369228.984150,1737369229.587123,0.602974,2.106705,2.120005,0.013299,1
1737369232.098960,23,checkerboard195.png,1737369231.497144,1737369232.098960,0.601817,1.897761,1.910020,0.012260,1
1737369235.377737,24,checkerboard195_inverted.png,1737369234.773532,1737369235.377737,0.604204,2.644735,2.674572,0.029837,1
1737369238.236047,25,checkerboard225.png,1737369237.635812,1737369238.236047,0.600236,2.236667,2.258075,0.021408,1
1737369240.035550,26,checkerboard225_inverted.png,1737369239.439420,1737369240.035550,0.596130,1.181640,1.203372,0.021733,1
1737369242.649918,27,checkerboard225.png,1737369242.045805,1737369242.649918,0.604113,1.998680,2.010256,0.011576,1
1737369244.351039,28,checkerboard225_inverted.png,1737369243.753071,1737369244.351039,0.597967,1.096303,1.103153,0.006850,1
1737369247.964869,29,checkerboard195.png,1737369247.358664,1737369247.964869,0.606205,2.979799,3.007625,0.027827,1
1737369251.033382,30,checkerboard195_inverted.png,1737369250.427663,1737369251.033382,0.605720,2.427311,2.462794,0.035483,1
1737369254.324556,31,checkerboard195.png,1737369253.724108,1737369254.324556,0.600448,2.685673,2.690725,0.005053,1
1737369257.773123,32,checkerboard195_inverted.png,1737369257.170273,1737369257.773123,0.602849,2.821008,2.845717,0.024709,1
1737369260.590524,33,checkerboard225.png,1737369259.987787,1737369260.590524,0.602737,2.162476,2.214664,0.052188,1
1737369263.381936,34,checkerboard225_inverted.png,1737369262.778620,1737369263.381936,0.603315,2.157774,2.188096,0.030322,1
1737369266.442833,35,checkerboard255.png,1737369265.836687,1737369266.442833,0.606146,2.428267,2.454751,0.026485,1
1737369269.463994,36,checkerboard255_inverted.png,1737369268.860210,1737369269.463994,0.603784,2.389876,2.417377,0.027501,1
1737369271.476255,37,checkerboard255.png,1737369270.877763,1737369271.476255,0.598492,1.392339,1.413769,0.021430,1
1737369274.103405,38,checkerboard255_inverted.png,1737369273.497317,1737369274.103405,0.606088,1.990938,2.021062,0.030125,1
1737369275.997680,39,checkerboard195.png,1737369275.395717,1737369275.997680,0.601963,1.263363,1.292312,0.028949,1
1737369278.581202,40,checkerboard195_inverted.png,1737369277.977248,1737369278.581202,0.603953,1.954680,1.979568,0.024888,1
1737369280.387692,41,checkerboard195.png,1737369279.784978,1737369280.387692,0.602714,1.174124,1.203777,0.029652,1
1737369283.604636,42,checkerboard195_inverted.png,1737369283.001240,1737369283.604636,0.603396,2.590931,2.613548,0.022617,1
1737369286.376251,43,checkerboard255.png,1737369285.779052,1737369286.376251,0.597200,2.161304,2.174415,0.013111,1
1737369288.855712,44,checkerboard255_inverted.png,1737369288.249654,1737369288.855712,0.606058,1.863481,1.873403,0.009922,1
1737369290.615795,45,checkerboard225.png,1737369290.011832,1737369290.615795,0.603963,1.112681,1.156120,0.043439,1
1737369294.074545,46,checkerboard225_inverted.png,1737369293.473224,1737369294.074545,0.601321,2.814232,2.857429,0.043197,1
1737369295.732000,47,checkerboard255.png,1737369295.127044,1737369295.732000,0.604957,1.034187,1.052498,0.018311,1
1737369298.267437,48,checkerboard255_inverted.png,1737369297.668894,1737369298.267437,0.598543,1.917063,1.936893,0.019831,1
1737369300.831454,49,checkerboard195.png,1737369300.230789,1737369300.831454,0.600665,1.946575,1.963353,0.016778,1
1737369303.332674,50,checkerboard195_inverted.png,1737369302.732112,1737369303.332674,0.600562,1.873422,1.900658,0.027237,1
1737369306.512383,51,checkerboard255.png,1737369305.908609,1737369306.512383,0.603775,2.568901,2.575935,0.007034,1
1737369308.193726,52,checkerboard255_inverted.png,1737369307.593430,1737369308.193726,0.600296,1.071526,1.081046,0.009520,1
1737369310.624388,53,checkerboard225.png,1737369310.026694,1737369310.624388,0.597694,1.796101,1.832968,0.036866,1
1737369313.185462,54,checkerboard225_inverted.png,1737369312.582689,1737369313.185462,0.602773,1.908624,1.958301,0.049677,1
1737369315.151668,55,checkerboard255.png,1737369314.544526,1737369315.151668,0.607142,1.351791,1.359064,0.007273,1
1737369316.922588,56,checkerboard255_inverted.png,1737369316.323978,1737369316.922588,0.598609,1.145416,1.172310,0.026894,1
1737369318.688212,57,checkerboard255.png,1737369318.085846,1737369318.688212,0.602366,1.153382,1.163258,0.009876,1
1737369321.460444,58,checkerboard255_inverted.png,1737369320.859581,1737369321.460444,0.600863,2.152063,2.171370,0.019307,1
1737369323.403755,59,checkerboard195.png,1737369322.800673,1737369323.403755,0.603082,1.290932,1.340229,0.049296,1
1737369325.096857,60,checkerboard195_inverted.png,1737369324.497727,1737369325.096857,0.599129,1.054696,1.093973,0.039277,1
1737369328.299098,61,checkerboard195.png,1737369327.695621,1737369328.299098,0.603476,2.582716,2.598765,0.016049,1
1737369331.754612,62,checkerboard195_inverted.png,1737369331.152299,1737369331.754612,0.602314,2.576338,2.853201,0.276863,1
1737369334.015399,63,checkerboard255.png,1737369333.419430,1737369334.015399,0.595968,1.632319,1.664818,0.032499,1
1737369337.493316,64,checkerboard255_inverted.png,1737369336.897152,1737369337.493316,0.596164,2.849149,2.881753,0.032605,1
