CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1729162239.503200,1729162240.714329,0.600000,1.813968,1.798302,-0.015666,0,54,highneg_12.jpg
1729162241.314463,1729162243.014368,0.600000,2.295101,2.300039,0.004938,0,55,lowneg_04.jpg
1729162243.617914,1729162244.316423,0.600000,1.311161,1.302055,-0.009106,0,56,lowneg_02.jpg
1729162244.927235,1729162246.151589,0.600000,1.850507,1.835166,-0.015341,0,57,neutral_05.jpg
1729162246.740976,1729162248.768861,0.600000,2.597499,2.617272,0.019773,0,58,neutral_03.jpg
1729162249.337577,1729162249.978613,0.600000,1.241734,1.209752,-0.031982,0,59,lowpos_02.jpg
1729162250.574742,1729162251.824488,0.600000,1.832835,1.845875,0.013040,0,60,highpos_02.jpg
1729162252.404589,1729162254.467835,0.600000,2.665873,2.643347,-0.022526,0,61,highpos_09.jpg
1729162255.058171,1729162257.051113,0.600000,2.588108,2.583278,-0.004830,0,62,highneg_17.jpg
1729162257.638264,1729162259.950251,0.600000,2.912904,2.899138,-0.013766,0,63,highpos_29.jpg
1729162260.540535,1729162261.944313,0.600000,2.006323,1.994062,-0.012261,0,64,neutral_19.jpg
1729162262.537340,1729162264.168487,0.600000,2.236207,2.224174,-0.012033,0,65,neutral_18.jpg
1729162264.769872,1729162265.631245,0.600000,1.457805,1.462758,0.004952,0,66,highneg_25.jpg
1729162266.220173,1729162267.913545,0.600000,2.298185,2.282300,-0.015885,0,67,neutral_06.jpg
1729162268.507246,1729162270.815866,0.600000,2.901916,2.902321,0.000405,0,68,neutral_12.jpg
1729162271.404930,1729162273.656989,0.600000,2.854972,2.841123,-0.013849,0,69,neutral_10.jpg
1729162274.253651,1729162275.612453,0.600000,1.953409,1.955464,0.002055,0,70,highneg_02.jpg
1729162276.204865,1729162278.310721,0.600000,2.711701,2.698268,-0.013433,0,71,lowpos_31.jpg
1729162278.909679,1729162281.103566,0.600000,2.789607,2.792845,0.003238,0,72,highpos_10.jpg
1729162281.693020,1729162284.039804,0.600000,2.937505,2.936238,-0.001267,0,73,lowneg_11.jpg
1729162284.648550,1729162286.061954,0.600000,2.030654,2.022150,-0.008504,0,74,highneg_21.jpg
1729162286.651256,1729162288.639283,0.600000,2.567020,2.577329,0.010309,0,75,highneg_01.jpg
1729162289.217325,1729162290.709159,0.600000,2.091307,2.069876,-0.021431,0,76,lowpos_25.jpg
1729162291.300597,1729162292.727961,0.600000,2.032497,2.018802,-0.013695,0,77,highneg_07.jpg
1729162293.318843,1729162294.793236,0.600000,2.078505,2.065275,-0.013231,0,78,lowpos_24.jpg
1729162295.387513,1729162297.032906,0.600000,2.239651,2.239670,0.000019,0,79,lowpos_22.jpg
1729162297.624396,1729162298.028972,0.600000,1.002267,0.996066,-0.006201,0,80,highneg_22.jpg
1729162298.616795,1729162300.160859,0.600000,2.147053,2.131887,-0.015166,0,81,highpos_12.jpg
1729162300.755935,1729162302.924777,0.600000,2.748076,2.763918,0.015842,0,82,highpos_04.jpg
1729162303.504211,1729162305.265237,0.600000,2.359647,2.340460,-0.019187,0,83,neutral_08.jpg
1729162305.855748,1729162306.788915,0.600000,1.536098,1.523678,-0.012421,0,84,lowpos_16.jpg
1729162307.383150,1729162308.315564,0.600000,1.502103,1.526649,0.024546,0,85,neutral_22.jpg
1729162308.880066,1729162310.714480,0.600000,2.426293,2.398916,-0.027377,0,86,neutral_24.jpg
1729162311.305291,1729162311.722421,0.600000,1.010035,1.007941,-0.002094,0,87,highpos_16.jpg
1729162312.328253,1729162313.655417,0.600000,1.945726,1.932996,-0.012730,0,88,lowneg_15.jpg
1729162314.243781,1729162315.050788,0.600000,1.410201,1.395371,-0.014830,0,89,neutral_16.jpg
1729162315.639085,1729162316.622578,0.600000,1.575697,1.571790,-0.003907,0,90,neutral_11.jpg
1729162317.215880,1729162318.043420,0.600000,1.424370,1.420842,-0.003528,0,91,highpos_26.jpg
1729162318.636535,1729162320.058528,0.600000,2.018051,2.015108,-0.002943,0,92,neutral_21.jpg
1729162320.649658,1729162322.699931,0.600000,2.638281,2.641403,0.003122,0,93,highpos_07.jpg
1729162323.291267,1729162325.364690,0.600000,2.638043,2.664759,0.026716,0,94,highpos_28.jpg
1729162325.934841,1729162328.164825,0.600000,2.838004,2.800135,-0.037869,0,95,highpos_15.jpg
1729162328.756842,1729162330.086277,0.600000,1.925902,1.921452,-0.004450,0,96,highpos_06.jpg
1729162330.675124,1729162333.105327,0.600000,2.932612,3.019050,0.086437,0,97,lowneg_03.jpg
1729162333.593804,1729162334.241487,0.600000,1.249023,1.136160,-0.112863,0,98,highpos_11.jpg
1729162334.833933,1729162336.479200,0.600000,2.244265,2.237713,-0.006552,0,99,lowpos_03.jpg
1729162337.080080,1729162339.348071,0.600000,2.861931,2.868871,0.006940,0,100,neutral_25.jpg
1729162339.943047,1729162340.368337,0.600000,1.026579,1.020266,-0.006314,0,101,lowpos_07.jpg
1729162340.958750,1729162341.949425,0.600000,1.491043,1.581088,0.090045,0,102,highpos_19.jpg
1729162342.442014,1729162343.746002,0.600000,1.908118,1.796577,-0.111541,0,103,highneg_08.jpg
1729162344.338305,1729162346.015222,0.600000,2.218294,2.269220,0.050926,0,104,lowneg_12.jpg
1729162346.559329,1729162347.407583,0.600000,1.448921,1.392361,-0.056560,0,105,lowpos_28.jpg
1729162348.000379,1729162350.390726,0.600000,2.987557,2.983143,-0.004414,0,106,lowneg_24.jpg
1729162350.990469,1729162351.705184,0.600000,1.311723,1.314458,0.002735,0,107,highneg_15.jpg
1729162352.294052,1729162353.694662,0.600000,1.996383,1.989478,-0.006904,0,108,highpos_24.jpg
1729162354.287866,1729162356.399578,0.600000,2.714027,2.704916,-0.009111,0,109,highneg_14.jpg
1729162356.995092,1729162359.022955,0.600000,2.628384,2.623377,-0.005007,0,110,neutral_13.jpg
1729162359.612672,1729162360.601402,0.600000,1.584756,1.578447,-0.006309,0,111,neutral_01.jpg
1729162361.194753,1729162362.074045,0.600000,1.481918,1.472643,-0.009275,0,112,lowpos_10.jpg
1729162362.666770,1729162364.901709,0.600000,2.835014,2.827664,-0.007350,0,113,neutral_04.jpg
1729162365.493319,1729162367.861874,0.600000,2.970567,2.960165,-0.010402,0,114,neutral_20.jpg
1729162368.452527,1729162370.446071,0.600000,2.590440,2.584197,-0.006243,0,115,highpos_22.jpg
1729162371.031112,1729162372.627880,0.600000,2.189356,2.181809,-0.007547,0,116,highneg_10.jpg
1729162373.224801,1729162374.585517,0.600000,1.961523,1.957637,-0.003887,0,117,highpos_13.jpg
1729162375.180225,1729162376.225793,0.600000,1.640615,1.640276,-0.000340,0,118,lowpos_21.jpg
1729162376.836468,1729162378.961587,0.600000,2.688534,2.735794,0.047260,0,119,lowneg_23.jpg
1729162379.521466,1729162380.606837,0.600000,1.690892,1.645250,-0.045642,0,120,highneg_24.jpg
1729162381.206123,1729162381.718958,0.600000,1.116440,1.112121,-0.004319,0,121,lowpos_27.jpg
1729162382.316858,1729162382.813651,0.600000,1.095175,1.094693,-0.000481,0,122,lowneg_05.jpg
1729162383.410480,1729162384.820784,0.600000,2.015374,2.007133,-0.008241,0,123,lowneg_14.jpg
1729162385.417645,1729162386.596045,0.600000,1.780697,1.775261,-0.005437,0,124,highpos_14.jpg
1729162387.290483,1729162388.313221,0.600000,1.728699,1.717176,-0.011523,0,125,lowpos_09.jpg
1729162452.690667,1729162453.238999,0.600000,1.139316,64.925778,63.786462,1,1,lowneg_14.jpg
1729162453.813263,1729162454.778432,0.600000,1.568381,1.539433,-0.028948,1,2,highneg_20.jpg
1729162455.368996,1729162456.972387,0.600000,2.197922,2.193955,-0.003967,1,3,highpos_06.jpg
1729162457.567370,1729162459.553152,0.600000,2.585074,2.580765,-0.004309,1,4,lowneg_04.jpg
1729162460.145339,1729162460.689959,0.600000,1.142261,1.136807,-0.005454,1,5,lowneg_21.jpg
